fake_author_ID,ctrl_obs_cat,ctrl_obs_2cat,acadmic_age,first_gender,second_gender,third_gender,mobility_status2,continent,WB_region,un_subregion,continent_new,un_subregion_new,WB_region_new
10009,top1_oxq1,Talents,22,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10010,top5-top10_oxq1,Others,12,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10011,top5-top10_oxq1,Others,14,Female,Female,Female,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10012,top5-top10_oxq1,Others,16,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10013,top1_oxq1,Talents,22,Male,Female,Unknown,Non mobile,Americas,North America,Northern America,USA,USA,USA
10014,top5-top10_oxq1,Others,20,Female,Female,Female,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
10015,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10016,top1_oxq1,Talents,13,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10017,top1_oxq1,Talents,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10018,top5-top10_oxq1,Others,19,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10019,top1_oxq1,Talents,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10020,top1_oxq1,Talents,22,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10021,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Eastern Europe,Europe,Eastern Europe,Europe & Central Asia
10022,top5-top10_oxq1,Others,18,Male,Male,Unknown,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10023,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
10024,top5-top10_oxq1,Others,17,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10025,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10026,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
10027,top5-top10_oxq1,Others,18,Male,Male,Male,Internal,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10028,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10029,top1_oxq1,Talents,22,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10030,top5-top10_oxq1,Others,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10031,top1_oxq1,Talents,11,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10032,top5-top10_oxq1,Others,9,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10033,top5-top10_oxq1,Others,19,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10034,top1_oxq1,Talents,22,Female,Female,Female,Internal,Americas,North America,Northern America,USA,USA,USA
10035,top5-top10_oxq1,Others,22,Male,Male,Male,Non mobile,Oceania,East Asia & Pacific,Australia and New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
10036,top5-top10_oxq1,Others,20,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10037,top5-top10_oxq1,Others,21,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10038,top1_oxq1,Talents,20,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10039,top1_oxq1,Talents,25,Male,Male,Male,Internal,Asia,East Asia & Pacific,South-eastern Asia,Asia,South-eastern Asia,East Asia & Pacific
10040,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10041,top1_oxq1,Talents,18,Female,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10042,top5-top10_oxq1,Others,22,Female,Female,Female,Non mobile,Americas,Latin America & Caribbean,Latin America and the Caribbean,BRA,BRA,BRA
10043,top1_oxq1,Talents,22,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10044,top5-top10_oxq1,Others,20,Male,Male,Male,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10045,top1_oxq1,Talents,20,Male,Male,Male,Internal,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10046,top5-top10_oxq1,Others,22,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10047,top1_oxq1,Talents,19,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10048,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10049,top1_oxq1,Talents,22,Female,Female,Female,Internal,Oceania,East Asia & Pacific,Australia and New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
10050,top5-top10_oxq1,Others,17,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10051,top5-top10_oxq1,Others,18,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10052,top5-top10_oxq1,Others,16,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10053,top5-top10_oxq1,Others,21,Female,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10054,top5-top10_oxq1,Others,19,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
10055,top1_oxq1,Talents,18,Female,Female,Female,Non mobile,Oceania,East Asia & Pacific,Australia and New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
10056,top5-top10_oxq1,Others,14,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10057,top5-top10_oxq1,Others,17,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10058,top1_oxq1,Talents,18,Female,Female,Female,Non mobile,Americas,North America,Northern America,USA,USA,USA
10059,top5-top10_oxq1,Others,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10060,top5-top10_oxq1,Others,22,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10061,top1_oxq1,Talents,20,Female,Female,Female,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
10062,top1_oxq1,Talents,22,Female,Female,Female,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10063,top1_oxq1,Talents,18,Female,Unknown,Unknown,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10064,top1_oxq1,Talents,20,Male,Unknown,Unknown,Internal,Americas,North America,Northern America,USA,USA,USA
10065,top5-top10_oxq1,Others,21,Male,Male,Male,Non mobile,Americas,Latin America & Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Latin America & Caribbean
10066,top5-top10_oxq1,Others,19,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10067,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10068,top1_oxq1,Talents,18,Female,Male,Unknown,Non mobile,Americas,North America,Northern America,USA,USA,USA
10069,top1_oxq1,Talents,22,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10070,top1_oxq1,Talents,20,Male,Male,Unknown,Non mobile,Americas,North America,Northern America,USA,USA,USA
10071,top1_oxq1,Talents,17,Male,Male,Male,Non mobile,Oceania,East Asia & Pacific,Australia and New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
10072,top5-top10_oxq1,Others,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Eastern Europe,Europe,Eastern Europe,Europe & Central Asia
10073,top5-top10_oxq1,Others,20,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
10074,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
10075,top5-top10_oxq1,Others,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
