Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Tal. x Unk. x Brazil,-3.245,0,-1189596747818.3728,0,-3.245,-3.245,Yes
Both,Tal. x M. x Central Asia,-12.17,0.519,-23.462,0,-13.186,-11.153,Yes
Both,Tal. x Unk. x Central Asia,0,0,0,1,-0,0,No
Both,Tal. x M. x China,-2.892,0.717,-4.032,0,-4.298,-1.486,Yes
Both,Tal. x Unk. x China,3.295,0.502,6.569,0,2.312,4.279,Yes
Both,Tal. x M. x Eastern Asia,-2.182,0.752,-2.9,0.004,-3.656,-0.707,Yes
Both,Tal. x Unk. x Eastern Asia,3.022,0.579,5.222,0,1.888,4.156,Yes
Both,Tal. x M. x Eastern Europe,-3.097,1.182,-2.62,0.009,-5.415,-0.78,Yes
Both,Tal. x Unk. x Eastern Europe,0.688,1.673,0.411,0.681,-2.591,3.967,No
Both,Tal. x M. x Latin America Car.,-3.244,1.59,-2.04,0.041,-6.362,-0.127,Yes
Both,Tal. x Unk. x Latin America Car.,3.394,2.163,1.569,0.117,-0.845,7.634,No
Both,Tal. x M. x Melanesia,-0.397,0,-18002809.531,0,-0.397,-0.397,Yes
Both,Tal. x Unk. x Melanesia,0,0,0,1,-0,0,No
Both,Tal. x M. x Northern Africa,-3.734,0.936,-3.99,0,-5.569,-1.9,Yes
Both,Tal. x Unk. x Northern Africa,-0.403,1.357,-0.297,0.767,-3.062,2.257,No
Both,Tal. x M. x Northern America,-2.84,0.874,-3.25,0.001,-4.552,-1.127,Yes
Both,Tal. x Unk. x Northern America,2.422,0.914,2.651,0.008,0.631,4.213,Yes
Both,Tal. x M. x Northern Europe,-3.065,0.746,-4.107,0,-4.528,-1.603,Yes
Both,Tal. x Unk. x Northern Europe,2.568,0.763,3.364,0.001,1.072,4.064,Yes
Both,Tal. x M. x South-eastern Asia,0.626,1.713,0.365,0.715,-2.731,3.982,No
Both,Tal. x Unk. x South-eastern Asia,5.671,1.986,2.855,0.004,1.778,9.563,Yes
