Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
International,Tal. x M. x Brazil,-5.98,0.829,-7.21,0,-7.605,-4.354,Yes
International,Tal. x Unk. x Brazil,20.256,0.671,30.198,0,18.941,21.57,Yes
International,Tal. x M. x China,-5.056,0.566,-8.926,0,-6.166,-3.946,Yes
International,Tal. x Unk. x China,4.208,0.661,6.362,0,2.912,5.505,Yes
International,Tal. x M. x EastAsiaPa,-4.758,0.562,-8.462,0,-5.861,-3.656,Yes
International,Tal. x Unk. x EastAsiaPa,2.976,0.586,5.082,0,1.828,4.124,Yes
International,Tal. x M. x EuropeCenAs,-4.922,0.542,-9.089,0,-5.984,-3.861,Yes
International,Tal. x Unk. x EuropeCenAs,3.812,0.457,8.339,0,2.916,4.707,Yes
International,Tal. x M. x LatinAmeriCar,-4.293,1.101,-3.898,0,-6.451,-2.135,Yes
International,Tal. x M. x MENA,-5.249,0.742,-7.071,0,-6.704,-3.794,Yes
International,Tal. x Unk. x MENA,-18.711,0,-10110768614.762,0,-18.711,-18.711,Yes
International,Tal. x M. x NorthAmer,-5.03,0.63,-7.981,0,-6.265,-3.794,Yes
International,Tal. x Unk. x NorthAmer,-22.483,0,-149829804652.91,0,-22.483,-22.483,Yes
International,Tal. x M. x SouthAsi,-5.557,0.806,-6.891,0,-7.137,-3.976,Yes
International,Tal. x Unk. x SouthAsi,2.7,1.249,2.162,0.031,0.252,5.148,Yes
International,Tal. x M. x USA,-4.804,0.558,-8.608,0,-5.898,-3.71,Yes
International,Tal. x Unk. x USA,3.658,0.669,5.472,0,2.348,4.969,Yes
International,Tal. x M. x SouthAfrica,-4.012,1.282,-3.13,0.002,-6.525,-1.499,Yes
